Nummering Electroden,,,,,electrode afstand,,,,Meetplan en 0-meting,,,,Controlemeting:,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,
BRO,,(op kabel 1),,(op kabel 2),,,,,,6/26/2023,,11:00,6/26/2023,12:00,7/2/2023,10:50,7/9/2023,11:00,7/16/2023,16:25,7/23/2023,13:25,7/30/2023,16:45,8//7/2023,8:20,8/11/2023,8:45,8/27/2023,10:15,9/5/2023,12:00,9/17/2023,13:00,10/29/2023,9:45,25-03-2024,11:15,4/26/2024,10:20,6/28/2024,9:50,2/28/2025,12:17
,kabel 1,,kabel 2,,,,,tbv,,gws (m -bkb):,,2.49,gws (m -bkb):,2.49,gws (m -bkb):,2.5,gws (m -bkb):,2.55,gws (m -bkb):,2.61,gws (m -bkb):,2.66,gws (m -bkb):,2.7,gws (m -bkb):,2.71,gws (m -bkb):,2.62,gws (m -bkb):,2.55,gws (m -bkb):,2.5,gws (m -bkb):,2.51,gws (m -bkb):,2.29,gws (m -bkb):,2.18,gws (m -bkb):,2.3,gws (m -bkb):,2.39,gws (m -bkb):,2.36
,(ondiep),,(diep),,,,,SlimFlex,1234 / 2345,,1357 / 3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,patchkast,,patchkast,,,m NAP,m,tov mv,30 cm,30 cm,60 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm
,,,,,bkb,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mv,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,plain,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,screen,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-31.29,o.k.buis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,8,,,,-21.49,,-23.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,16-17-18-19,0.58,,,0.58,,0.58,,0.58,,0.58,,0.58,,0.58,,0.58,,0.58,,0.58,,0.58,,0.59,,0.6,,0.64,,0.65,,0.66,,0.74,
18,18,7,,,,-21.79,,-24.00,,,15-17-19-21,0.31,,0.31,,0.3,,0.31,,0.31,,0.31,,0.31,,0.31,,0.31,,0.31,,0.31,,0.31,,0.32,,0.34,,0.35,,0.35,,
,,,,,30,,,,17-18-19-20,0.55,,,0.55,,0.55,,0.55,,0.55,,0.55,,0.55,,0.55,,0.55,,0.55,,0.55,,0.56,,0.57,,0.6,,0.61,,0.62,,0.68,
19,19,6,,,,-22.09,,-24.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,18-19-20-21,0.51,,,0.51,,0.51,,0.51,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.53,,0.55,,0.56,,0.57,,0.62,
20,20,5,,,,-22.39,,-24.60,,,17-19-21-23,0.26,,0.27,,0.26,,0.27,,0.27,,0.27,,0.27,,0.27,,0.27,,0.27,,0.27,,0.27,,0.27,,0.28,,0.29,,0.29,,
,,,,,30,,,,19-20-21-22,0.48,,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.49,,0.51,,0.52,,0.52,,0.55,
21,21,4,,,,-22.69,,-24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,20-21-22-23,0.44,,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,,0.46,,0.46,,0.46,,0.48,
22,22,3,,,,-22.99,,-25.20,,,19-21-23-25,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,21-22-23-24,0.41,,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.41,,0.42,,0.43,,0.43,,0.44,
23,23,2,,,,-23.29,,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,22-23-24-25,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,,,,-23.59,,-25.80,,,21-23-25-27,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,23-24-25-26,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,1,24,,-23.89,,-26.10,,,,,,,Opmerkingen:,,Opmerkingen:,,,,,,"23,8 mm regen",,"79,4 mm regen",,,,een weekje overgeslagen zondag niet thuis rest van de week vergeten.,,een weekje overgeslagen zondag niet thuis rest van de week vergeten.,,15 mm neerslag sinds 5 september,,166 mm neerslag sinds vorigemeting... de aardappeltjes zijn binnen voor dat de 120 mm is gevallen laatste 14 dagen,,,,,,,,,
,,,,,30,,,,24-25-26-27,0.36,,,,,(Zoals neerslag ..mm,,waterpeil sloot omlaag wegens laag braakman kreek peil (-60nap) sinds 7-7-2023,,sloten nu droog ,,,,,,,,,,"12,6 mm deze week ",,"29,4 mm",van de vorige meting tot nu,"sloot peil begint te zakken wegens nieuw water gebrek. wel veel regen voorspeld komende week dus misschien komt het weer terug, vandaag eerste verlaging peil gezien.",van de vorige meting tot nu,,,,,,,,,,
26,,,2,23,,-24.19,,-26.40,,,23-25-27-29,0.18,,,(extra) infiltratie,,,,"6,6mm regen",,"7,6 mm regen",,,,,"60 cm meting 1357 knipperde tussen 1,19 en 1,2",,,vorige week niets.,,,,,,,,,,,,,,,
,,,,,30,,,,25-26-27-28,0.36,,,,,Onttrekking,,,,,,,,,,,,,,waterschap heeft pompen weer draaien slootpeil rond +90 nap,,,,,,,,,,0.36,,,,,
27,,,3,22,,-24.49,,-26.70,,,,,,,in de afgelopen week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,26-27-28-29,0.36,,,,,"6,4 mm neerslag",,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,
28,,,4,21,,-24.79,,-27.00,,,25-27-29-31,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,27-28-29-30,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,
29,,,5,20,,-25.09,,-27.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,28-29-30-31,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,
30,,,6,19,,-25.39,,-27.60,,,27-29-31-33,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,29-30-31-32,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,
31,,,7,18,,-25.69,,-27.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,30-31-32-33,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,
32,,,8,17,,-25.99,,-28.20,,,29-31-33-35,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,31-32-33-34,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,
33,,,9,16,,-26.29,,-28.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,32-33-34-35,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,
34,,,10,15,,-26.59,,-28.80,,,31-33-35-37,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,33-34-35-36,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,
35,,,11,14,,-26.89,,-29.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,34-35-36-37,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,
36,,,12,13,,-27.19,,-29.40,,,33-35-37-39,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,35-36-37-38,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,
37,,,13,12,,-27.49,,-29.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,36-37-38-39,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,
38,,,14,11,,-27.79,,-30.00,,,35-37-39-41,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,37-38-39-40,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,
39,,,15,10,,-28.09,,-30.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,38-39-40-41,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,
40,,,16,9,,-28.39,,-30.60,,,37-39-41-43,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,39-40-41-42,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,
41,,,17,8,,-28.69,,-30.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,40-41-42-43,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,
42,,,18,7,,-28.99,,-31.20,,,39-41-43-45,fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,41-42-43-44,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,
43,,,19,6,,-29.29,,-31.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,42-43-44-45,fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fault,,,,,
44,,,20,5,,-29.59,,-31.80,,,41-43-45-47,high resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,43-44-45-46,high resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high resistance,,,,,
45,,,21,4,,-29.89,,-32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,44-45-46-47,high resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high resistance,,,,,
46,,,22,3,,-30.19,,-32.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,45-46-47-48,fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fault,,,,,
