time,value,status_quality_control,censor_reason,censor_limit
2025-06-05T11:28:48+0200,2.886,goedgekeurd,,
2025-06-05T12:28:48+0200,2.883,goedgekeurd,,
2025-06-05T13:28:48+0200,2.899,goedgekeurd,,
2025-06-05T14:28:49+0200,3.072,goedgekeurd,,
2025-06-05T15:28:48+0200,3.012,goedgekeurd,,
2025-06-05T16:28:49+0200,2.976,goedgekeurd,,
2025-06-05T17:28:49+0200,2.964,goedgekeurd,,
2025-06-05T18:28:49+0200,2.958,goedgekeurd,,
2025-06-05T19:28:49+0200,2.953,goedgekeurd,,
2025-06-05T20:28:50+0200,2.941,goedgekeurd,,
2025-06-05T21:28:50+0200,2.940,goedgekeurd,,
2025-06-05T22:28:50+0200,2.941,goedgekeurd,,
2025-06-05T23:28:51+0200,2.945,goedgekeurd,,
2025-06-06T00:28:51+0200,2.940,goedgekeurd,,
2025-06-06T01:28:51+0200,2.957,goedgekeurd,,
2025-06-06T02:28:50+0200,2.949,goedgekeurd,,
2025-06-06T03:28:50+0200,2.936,goedgekeurd,,
2025-06-06T04:28:51+0200,3.555,goedgekeurd,,
2025-06-06T05:28:52+0200,3.282,goedgekeurd,,
2025-06-06T06:28:51+0200,3.139,goedgekeurd,,
2025-06-06T07:28:51+0200,3.081,goedgekeurd,,
2025-06-06T08:28:52+0200,3.041,goedgekeurd,,
2025-06-06T09:28:52+0200,2.997,goedgekeurd,,
2025-06-06T10:28:52+0200,2.987,goedgekeurd,,
2025-06-06T11:28:53+0200,2.960,goedgekeurd,,
2025-06-06T12:28:53+0200,2.935,goedgekeurd,,
2025-06-06T13:28:53+0200,2.923,goedgekeurd,,
2025-06-06T14:28:53+0200,2.920,goedgekeurd,,
2025-06-06T15:28:53+0200,2.914,goedgekeurd,,
2025-06-06T16:28:54+0200,2.914,goedgekeurd,,
2025-06-06T17:28:53+0200,2.906,goedgekeurd,,
2025-06-06T18:28:53+0200,2.900,goedgekeurd,,
2025-06-06T19:28:55+0200,2.904,goedgekeurd,,
2025-06-06T20:28:54+0200,2.903,goedgekeurd,,
2025-06-06T21:28:55+0200,2.900,goedgekeurd,,
2025-06-06T22:28:54+0200,2.894,goedgekeurd,,
2025-06-06T23:28:55+0200,2.884,goedgekeurd,,
2025-06-07T00:28:55+0200,2.883,goedgekeurd,,
2025-06-07T01:28:55+0200,2.894,goedgekeurd,,
2025-06-07T02:28:55+0200,2.887,goedgekeurd,,
2025-06-07T03:28:55+0200,2.880,goedgekeurd,,
2025-06-07T04:28:56+0200,2.884,goedgekeurd,,
2025-06-07T05:28:56+0200,2.878,goedgekeurd,,
2025-06-07T06:28:56+0200,2.891,goedgekeurd,,
2025-06-07T07:28:56+0200,2.887,goedgekeurd,,
2025-06-07T08:28:56+0200,2.883,goedgekeurd,,
2025-06-07T09:28:56+0200,2.891,goedgekeurd,,
2025-06-07T10:28:57+0200,2.895,goedgekeurd,,
2025-06-07T11:28:57+0200,2.900,goedgekeurd,,
2025-06-07T12:28:57+0200,2.907,goedgekeurd,,
2025-06-07T13:28:58+0200,3.082,goedgekeurd,,
2025-06-07T14:28:58+0200,3.031,goedgekeurd,,
2025-06-07T15:28:57+0200,3.010,goedgekeurd,,
2025-06-07T16:28:57+0200,3.003,goedgekeurd,,
2025-06-07T17:28:58+0200,2.988,goedgekeurd,,
2025-06-07T18:28:58+0200,2.980,goedgekeurd,,
2025-06-07T19:28:58+0200,2.976,goedgekeurd,,
2025-06-07T20:28:58+0200,2.958,goedgekeurd,,
2025-06-07T21:28:59+0200,2.955,goedgekeurd,,
2025-06-07T22:28:59+0200,2.950,goedgekeurd,,
2025-06-07T23:28:58+0200,2.949,goedgekeurd,,
2025-06-08T00:28:59+0200,2.944,goedgekeurd,,
2025-06-08T01:28:59+0200,2.941,goedgekeurd,,
2025-06-08T02:29:00+0200,2.955,goedgekeurd,,
2025-06-08T03:28:59+0200,2.954,goedgekeurd,,
2025-06-08T04:28:59+0200,2.950,goedgekeurd,,
2025-06-08T05:29:00+0200,2.938,goedgekeurd,,
2025-06-08T06:29:00+0200,3.586,goedgekeurd,,
2025-06-08T07:29:00+0200,3.575,goedgekeurd,,
2025-06-08T08:29:00+0200,3.381,goedgekeurd,,
2025-06-08T09:29:00+0200,3.247,goedgekeurd,,
2025-06-08T10:29:01+0200,3.143,goedgekeurd,,
2025-06-08T11:29:01+0200,3.215,goedgekeurd,,
2025-06-08T12:29:01+0200,3.252,goedgekeurd,,
2025-06-08T13:29:01+0200,3.293,goedgekeurd,,
2025-06-08T14:29:01+0200,3.186,goedgekeurd,,
2025-06-08T15:29:01+0200,3.111,goedgekeurd,,
2025-06-08T16:29:01+0200,3.067,goedgekeurd,,
2025-06-08T17:29:01+0200,3.026,goedgekeurd,,
