objectid,unicode,x,y,wvp,krw_lichaam,krw_code,grvl150mg,grvl1000mg,filter_zoet_zout,pmg_kwantiteit,krw_kwantiteit,krw_doel,verdroging,project,project_naam,kantonnier,vervanger,logger,evid_terrbeh,evid_terrbeh_txt,vergunning,iwaco,calibratie,lmg_rivm,pmg_kwal_2006,krw_kwal_2006,bestrijd_2006,pmg_kwal_2015,krw_kwal_2015,p2_bestrijd,p3_medisch,p4_industrie,onderhoudsronde,foto,opmerking,getal2,pmg_kwal_2012,krw_kwal_2012,bestrijd_2012,wrsch_verwijderd,em_slimflex_2015,tecontr_aanwezigheidput,veldlabel,pmg_kwal_2017,krw_kwal_2017,perc2bm_2017,perc3en4_2017,bronhouder,nitg_nr,buis_nr,krw_kwantiteit2019,InwinMethLoc
5503,B49D0124-2,75200,381420,WVP1a,,,-82,-641,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0124,"2",0,9
5504,B49D0124-3,75200,381420,WVP1a,,,-82,-641,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0124,"3",0,9
5505,B49D0124-4,75200,381420,,,,-82,-641,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0124,"4",0,9
5506,B49D0124-5,75200,381420,WVP2,,,-82,-641,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0124,"5",0,9
5507,B49D0124-6,75200,381420,WVP2,,,-82,-641,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0124,"6",0,9
6482,B49A0204-0,63520,399710,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"99",,0,0,0,,,B49A0204,"0",,9
5508,B49D0125-1,75890,381700,DKL,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"1",0,9
5509,B49D0125-2,75890,381700,WVP1a,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"2",0,9
5510,B49D0125-3,75890,381700,WVP1b,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"3",0,9
5511,B49D0125-4,75890,381700,,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"4",0,9
4126,B42H0160-1,55375,410663,,SC3,,,,,,,,0,,,,,0,,,,,,,,,,0,1,1,0,0,,"0",,0,0,1,1,,,,,0,1,1,,,B42H0160,"1",,9
4127,B42H0160-2,55375,410663,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B42H0160,"2",,9
5512,B49D0125-5,75890,381700,,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"5",0,9
5513,B49D0125-6,75890,381700,WVP2,,,-48,-98,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0125,"6",0,9
5514,B49D0126-1,73260,379800,WVP1a,,,81,31,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0126,"1",0,9
5515,B49D0126-2,73260,379800,WVP1b,,,81,31,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0126,"2",0,9
5516,B49D0126-3,73260,379800,WVP1b,,,81,31,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0126,"3",0,9
5517,B49D0126-4,73260,379800,WVP2,,,81,31,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0126,"4",0,9
5518,B49D0126-5,73260,379800,WVP2,,,81,31,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0126,"5",0,9
5519,B49D0154-1,74705,383170,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"99",,0,0,0,,,B49D0154,"1",0,9
