time,value,status_quality_control,censor_reason,censor_limit
2025-06-05T13:06:36+0200,0.278,afgekeurd,,
2025-06-05T14:06:36+0200,0.275,afgekeurd,,
2025-06-05T15:06:36+0200,0.275,afgekeurd,,
2025-06-05T16:06:37+0200,0.274,afgekeurd,,
2025-06-05T17:06:36+0200,0.274,afgekeurd,,
2025-06-05T18:06:36+0200,0.276,afgekeurd,,
2025-06-05T19:06:36+0200,0.275,afgekeurd,,
2025-06-05T20:06:37+0200,0.274,afgekeurd,,
2025-06-05T21:06:37+0200,0.273,afgekeurd,,
2025-06-05T22:06:36+0200,0.273,afgekeurd,,
2025-06-05T23:06:37+0200,0.274,afgekeurd,,
2025-06-06T00:06:37+0200,0.275,afgekeurd,,
2025-06-06T01:06:38+0200,0.272,afgekeurd,,
2025-06-06T02:06:38+0200,0.273,afgekeurd,,
2025-06-06T03:06:37+0200,0.279,afgekeurd,,
2025-06-06T04:06:38+0200,0.275,afgekeurd,,
2025-06-06T05:06:38+0200,0.277,afgekeurd,,
2025-06-06T06:06:38+0200,0.278,afgekeurd,,
2025-06-06T07:06:38+0200,0.277,afgekeurd,,
2025-06-06T08:06:38+0200,0.277,afgekeurd,,
2025-06-06T09:06:38+0200,0.276,afgekeurd,,
2025-06-06T10:06:38+0200,0.277,afgekeurd,,
2025-06-06T11:06:38+0200,0.278,afgekeurd,,
2025-06-06T12:06:39+0200,0.278,afgekeurd,,
2025-06-06T13:06:39+0200,0.277,afgekeurd,,
2025-06-06T14:06:39+0200,0.280,afgekeurd,,
2025-06-06T15:06:39+0200,0.277,afgekeurd,,
2025-06-06T16:06:39+0200,0.276,afgekeurd,,
2025-06-06T17:06:39+0200,0.273,afgekeurd,,
2025-06-06T18:06:39+0200,0.277,afgekeurd,,
2025-06-06T19:06:39+0200,0.277,afgekeurd,,
2025-06-06T20:06:39+0200,0.278,afgekeurd,,
2025-06-06T21:06:40+0200,0.276,afgekeurd,,
2025-06-06T22:06:40+0200,0.276,afgekeurd,,
2025-06-06T23:06:39+0200,0.277,afgekeurd,,
2025-06-07T00:06:39+0200,0.274,afgekeurd,,
2025-06-07T01:06:39+0200,0.277,afgekeurd,,
2025-06-07T02:06:39+0200,0.275,afgekeurd,,
2025-06-07T03:06:40+0200,0.279,afgekeurd,,
2025-06-07T04:06:40+0200,0.277,afgekeurd,,
2025-06-07T05:06:41+0200,0.277,afgekeurd,,
2025-06-07T06:06:41+0200,0.274,afgekeurd,,
