time,value,status_quality_control,censor_reason,censor_limit
2025-06-05T09:09:57+0200,0.506,goedgekeurd,,
2025-06-05T10:09:57+0200,0.504,goedgekeurd,,
2025-06-05T11:09:58+0200,0.510,goedgekeurd,,
2025-06-05T12:09:58+0200,0.508,goedgekeurd,,
2025-06-05T13:09:57+0200,0.513,goedgekeurd,,
2025-06-05T14:09:57+0200,0.509,goedgekeurd,,
2025-06-05T15:09:57+0200,0.505,goedgekeurd,,
2025-06-05T16:09:57+0200,0.509,goedgekeurd,,
2025-06-05T17:09:58+0200,0.515,goedgekeurd,,
2025-06-05T18:09:58+0200,0.519,goedgekeurd,,
2025-06-05T19:09:58+0200,0.521,goedgekeurd,,
2025-06-05T20:09:58+0200,0.519,goedgekeurd,,
2025-06-05T21:09:58+0200,0.521,goedgekeurd,,
2025-06-05T22:09:58+0200,0.522,goedgekeurd,,
2025-06-05T23:09:59+0200,0.525,goedgekeurd,,
2025-06-06T00:10:00+0200,0.529,goedgekeurd,,
2025-06-06T01:10:00+0200,0.529,goedgekeurd,,
2025-06-06T02:10:00+0200,0.531,goedgekeurd,,
2025-06-06T03:10:00+0200,0.520,goedgekeurd,,
2025-06-06T04:10:00+0200,0.508,goedgekeurd,,
2025-06-06T05:10:00+0200,0.514,goedgekeurd,,
2025-06-06T06:10:00+0200,0.509,goedgekeurd,,
2025-06-06T07:10:01+0200,0.505,goedgekeurd,,
2025-06-06T08:10:01+0200,0.500,goedgekeurd,,
2025-06-06T09:10:01+0200,0.495,goedgekeurd,,
2025-06-06T10:10:01+0200,0.497,goedgekeurd,,
2025-06-06T11:10:02+0200,0.493,goedgekeurd,,
2025-06-06T12:10:01+0200,0.492,goedgekeurd,,
2025-06-06T13:10:02+0200,0.493,goedgekeurd,,
2025-06-06T14:10:02+0200,0.499,goedgekeurd,,
2025-06-06T15:10:02+0200,0.499,goedgekeurd,,
2025-06-06T16:10:02+0200,0.500,goedgekeurd,,
2025-06-06T17:10:02+0200,0.498,goedgekeurd,,
2025-06-06T18:10:03+0200,0.499,goedgekeurd,,
2025-06-06T19:10:03+0200,0.505,goedgekeurd,,
2025-06-06T20:10:03+0200,0.505,goedgekeurd,,
2025-06-06T21:10:03+0200,0.505,goedgekeurd,,
2025-06-06T22:10:03+0200,0.505,goedgekeurd,,
2025-06-06T23:10:03+0200,0.501,goedgekeurd,,
2025-06-07T00:10:03+0200,0.501,goedgekeurd,,
2025-06-07T01:10:03+0200,0.501,goedgekeurd,,
2025-06-07T02:10:04+0200,0.506,goedgekeurd,,
2025-06-07T03:10:04+0200,0.508,goedgekeurd,,
2025-06-07T04:10:04+0200,0.511,goedgekeurd,,
2025-06-07T05:10:04+0200,0.510,goedgekeurd,,
2025-06-07T06:10:05+0200,0.510,goedgekeurd,,
2025-06-07T07:10:05+0200,0.507,goedgekeurd,,
2025-06-07T08:10:05+0200,0.504,goedgekeurd,,
2025-06-07T09:10:05+0200,0.505,goedgekeurd,,
2025-06-07T10:10:05+0200,0.508,goedgekeurd,,
2025-06-07T11:10:05+0200,0.505,goedgekeurd,,
2025-06-07T12:10:06+0200,0.505,goedgekeurd,,
2025-06-07T13:10:06+0200,0.507,goedgekeurd,,
2025-06-07T14:10:06+0200,0.506,goedgekeurd,,
2025-06-07T15:10:06+0200,0.508,goedgekeurd,,
2025-06-07T16:10:06+0200,0.507,goedgekeurd,,
2025-06-07T17:10:06+0200,0.506,goedgekeurd,,
2025-06-07T18:10:06+0200,0.509,goedgekeurd,,
2025-06-07T19:10:06+0200,0.506,goedgekeurd,,
2025-06-07T20:10:07+0200,0.509,goedgekeurd,,
2025-06-07T21:10:07+0200,0.513,goedgekeurd,,
2025-06-07T22:10:07+0200,0.515,goedgekeurd,,
2025-06-07T23:10:07+0200,0.516,goedgekeurd,,
2025-06-08T00:10:07+0200,0.521,goedgekeurd,,
2025-06-08T01:10:08+0200,0.527,goedgekeurd,,
2025-06-08T02:10:07+0200,0.535,goedgekeurd,,
2025-06-08T03:10:08+0200,0.527,goedgekeurd,,
2025-06-08T04:10:08+0200,0.517,goedgekeurd,,
2025-06-08T05:10:09+0200,0.509,goedgekeurd,,
2025-06-08T06:10:09+0200,0.507,goedgekeurd,,
2025-06-08T07:10:09+0200,0.487,goedgekeurd,,
2025-06-08T08:10:08+0200,0.489,goedgekeurd,,
2025-06-08T09:10:08+0200,0.489,goedgekeurd,,
2025-06-08T10:10:09+0200,0.486,goedgekeurd,,
2025-06-08T11:10:09+0200,0.477,goedgekeurd,,
2025-06-08T12:10:09+0200,0.464,goedgekeurd,,
2025-06-08T13:10:09+0200,0.468,goedgekeurd,,
2025-06-08T14:10:10+0200,0.469,goedgekeurd,,
2025-06-08T15:10:10+0200,0.471,goedgekeurd,,
2025-06-08T16:10:10+0200,0.467,goedgekeurd,,
2025-06-08T17:10:10+0200,0.468,goedgekeurd,,
2025-06-08T18:10:10+0200,0.466,goedgekeurd,,
2025-06-08T19:10:10+0200,0.469,goedgekeurd,,
2025-06-08T20:10:10+0200,0.470,goedgekeurd,,
2025-06-08T21:10:11+0200,0.470,goedgekeurd,,
2025-06-08T22:10:11+0200,0.471,goedgekeurd,,
2025-06-08T23:10:11+0200,0.472,goedgekeurd,,
2025-06-09T00:10:11+0200,0.481,goedgekeurd,,
2025-06-09T01:10:11+0200,0.486,goedgekeurd,,
2025-06-09T02:10:11+0200,0.486,goedgekeurd,,
2025-06-09T03:10:12+0200,0.482,goedgekeurd,,
2025-06-09T04:10:12+0200,0.487,goedgekeurd,,
2025-06-09T05:10:12+0200,0.490,goedgekeurd,,
2025-06-09T06:10:12+0200,0.489,goedgekeurd,,
2025-06-09T07:10:12+0200,0.490,goedgekeurd,,
2025-06-09T08:10:12+0200,0.491,goedgekeurd,,
2025-06-09T09:10:13+0200,0.489,goedgekeurd,,
2025-06-09T10:10:13+0200,0.489,goedgekeurd,,
