NITGCode;FilterNo;Grondwaterlichaam;Provincie;Xcoordinate [m];Ycoordinate [m];hasPassedModelQC;Probleem
B54F0043;1;Zoet grondwater in kreekgebieden;Zeeland;50114,000;373017,000;Yes;
B54F0043;2;Zout grondwater in ondiepe zandlagen;Zeeland;50114,000;373017,000;Yes;
B54F0044;2;Zout grondwater in ondiepe zandlagen;Zeeland;59320,000;374330,000;Yes;
B54F0046;2;Zoet grondwater in kreekgebieden;Zeeland;51361,000;371310,000;Yes;
B54F0049;2;Zoet grondwater in kreekgebieden;Zeeland;52747,000;367900,000;Yes;
B54F0051;1;Zoet grondwater in kreekgebieden;Zeeland;50958,000;366280,000;Yes;
B54F0051;2;Zoet grondwater in kreekgebieden;Zeeland;50958,000;366280,000;Yes;
B54F0052;1;Zout grondwater in ondiepe zandlagen;Zeeland;57150,000;365740,000;Yes;
B54F0055;1;Zoet grondwater in kreekgebieden;Zeeland;59650,000;363570,000;Yes;
B54F0055;2;Zoet grondwater in kreekgebieden;Zeeland;59650,000;363570,000;Yes;
B54F0058;1;Zoet grondwater in kreekgebieden;Zeeland;54642,000;373228,000;Yes;
B54F0058;2;Zout grondwater in ondiepe zandlagen;Zeeland;54642,000;373228,000;Yes;
B54F0059;1;Zout grondwater in ondiepe zandlagen;Zeeland;56650,000;373570,000;;
B54F0059;1;Zout grondwater in ondiepe zandlagen;Zeeland;56650,000;373570,000;Yes;
B54F0065;1;Zout grondwater in ondiepe zandlagen;Zeeland;55225,000;364355,000;No;
B54F0065;2;Zout grondwater in ondiepe zandlagen;Zeeland;55225,000;364355,000;No;
B54F0093;1;Grondwater in diepe zandlagen;Zeeland;54656,000;366133,000;No;
B54F0093;2;Grondwater in diepe zandlagen;Zeeland;54656,000;366133,000;No;
B54F0098;1;Zout grondwater in ondiepe zandlagen;Zeeland;55887,000;367069,000;;
B54F0098;1;Zout grondwater in ondiepe zandlagen;Zeeland;55887,000;367069,000;Yes;
B54F0100;1;Zoet grondwater in kreekgebieden;Zeeland;57260,000;370200,000;No;
B54F0100;2;Zoet grondwater in kreekgebieden;Zeeland;57260,000;370200,000;No;verkeerde meetperiode
B54F0110;2;Zoet grondwater in kreekgebieden;Zeeland;59642,000;374695,000;Yes;
B54F0111;1;Zoet grondwater in kreekgebieden;Zeeland;57410,000;370935,000;Yes;
B54F0111;2;Zoet grondwater in kreekgebieden;Zeeland;57410,000;370935,000;Yes;
B54G0032;2;Zoet grondwater in kreekgebieden;Zeeland;47402,000;362243,000;Yes;
B54G0034;1;Zoet grondwater in kreekgebieden;Zeeland;49414,000;361002,000;Yes;
B54G0034;2;Zout grondwater in ondiepe zandlagen;Zeeland;49414,000;361002,000;Yes;
B54G0051;1;Zout grondwater in ondiepe zandlagen;Zeeland;45281,000;360917,000;;
B54G0051;1;Zout grondwater in ondiepe zandlagen;Zeeland;45281,000;360917,000;Yes;
B54H0011;2;Zoet grondwater in dekzand;Zeeland;53873,000;360886,000;No;verkeerde meetperiode
B54H0011;3;Zoet grondwater in dekzand;Zeeland;53873,000;360886,000;Yes;
B55A0226;2;Zoet grondwater in kreekgebieden;Zeeland;60900,000;371560,000;Yes;
B55A0227;1;Zoet grondwater in kreekgebieden;Zeeland;63520,000;371150,000;Yes;
B55A0227;2;Zout grondwater in ondiepe zandlagen;Zeeland;63520,000;371150,000;Yes;
B55A0230;1;Zout grondwater in ondiepe zandlagen;Zeeland;66780,000;366490,000;Yes;
B55A0239;1;Zoet grondwater in kreekgebieden;Zeeland;60250,000;366450,000;Yes;
B55A0239;2;Zoet grondwater in kreekgebieden;Zeeland;60250,000;366450,000;Yes;
B55A0242;2;Zout grondwater in ondiepe zandlagen;Zeeland;60480,000;369020,000;Yes;
B55A0244;1;Zout grondwater in ondiepe zandlagen;Zeeland;69990,000;369190,000;Yes;
B55A0244;2;Zout grondwater in ondiepe zandlagen;Zeeland;69990,000;369190,000;No;
B55A0245;2;Zoet grondwater in kreekgebieden;Zeeland;64410,000;368700,000;Yes;
B55A0245;3;Zoet grondwater in kreekgebieden;Zeeland;64410,000;368700,000;Yes;
B55A0264;1;Zoet grondwater in dekzand;Zeeland;60749,000;363325,000;Yes;
B55A0267;1;Zoet grondwater in dekzand;Zeeland;63100,000;363240,000;Yes;
B55A0268;1;Zoet grondwater in dekzand;Zeeland;63545,000;363440,000;Yes;
B55A0278;1;Zoet grondwater in dekzand;Zeeland;62170,000;362685,000;Yes;
B55A0281;1;Zoet grondwater in dekzand;Zeeland;62260,000;362875,000;Yes;
B55A0287;1;Zoet grondwater in dekzand;Zeeland;62520,000;362930,000;Yes;
B55A0289;1;Zoet grondwater in dekzand;Zeeland;60440,000;362715,000;;
B55A0289;1;Zoet grondwater in dekzand;Zeeland;60440,000;362715,000;Yes;
B55A0291;1;Zoet grondwater in dekzand;Zeeland;62187,000;363137,000;Yes;
B55A0292;1;Zoet grondwater in dekzand;Zeeland;60165,000;362520,000;No;
B55A0293;1;Zoet grondwater in dekzand;Zeeland;60095,000;362620,000;Yes;
B55A0294;1;Zoet grondwater in dekzand;Zeeland;61153,000;362841,000;Yes;
B55A0295;1;Zoet grondwater in dekzand;Zeeland;60926,000;362861,000;Yes;
B55A0296;1;Zoet grondwater in dekzand;Zeeland;61242,000;363125,000;Yes;
B55A0303;1;Zoet grondwater in dekzand;Zeeland;62843,000;365054,000;Yes;
B55A0305;1;Zoet grondwater in dekzand;Zeeland;64013,000;363890,000;Yes;
B55A0306;1;Zoet grondwater in dekzand;Zeeland;63617,000;364593,000;Yes;
B55A0340;1;Grondwater in diepe zandlagen;Zeeland;63525,000;366300,000;No;
B55A0341;1;Grondwater in diepe zandlagen;Zeeland;63530,000;366300,000;No;
B55A0356;1;Zout grondwater in ondiepe zandlagen;Zeeland;61100,000;362245,000;Yes;
B55A0357;1;Zoet grondwater in dekzand;Zeeland;61637,000;363699,000;No;
B55A0357;2;Zoet grondwater in dekzand;Zeeland;61637,000;363699,000;Yes;
B55A0360;1;Zoet grondwater in dekzand;Zeeland;60000,000;362840,000;Yes;
B55A0364;1;Grondwater in diepe zandlagen;Zeeland;66859,000;371130,000;No;
B55A0376;2;Zoet grondwater in kreekgebieden;Zeeland;66160,000;368970,000;No;
B55A0377;2;Zoet grondwater in kreekgebieden;Zeeland;66190,000;368940,000;Yes;
B55A0378;1;Zoet grondwater in kreekgebieden;Zeeland;66210,000;368920,000;No;
B55A0378;2;Zoet grondwater in kreekgebieden;Zeeland;66210,000;368920,000;Yes;
B55B0013;2;Zout grondwater in ondiepe zandlagen;Zeeland;70050,000;371010,000;No;
